### IMAGE_DOS_HEADER   Groesse 128 (0x80)
### HBRUSH__   Groesse 4 (0x4)
  +0x0     unused                                     int                    4 Byte

### _CRT_FLOAT   Groesse 4 (0x4)
  +0x0     f                                          float                  4 Byte

### _LDBL12   Groesse 12 (0xc)
  +0x0     ld12                                       uchar[12]              12 Byte

### _CRT_DOUBLE   Groesse 8 (0x8)
  +0x0     x                                          double                 8 Byte

### hostent   Groesse 16 (0x10)
  +0x0     h_name                                     char *                 4 Byte
  +0x4     h_aliases                                  char * *               4 Byte
  +0x8     h_addrtype                                 short                  2 Byte
  +0xa     h_length                                   short                  2 Byte
  +0xc     h_addr_list                                char * *               4 Byte

### _OVERLAPPED   Groesse 20 (0x14)
  +0x0     Internal                                   ULONG_PTR              4 Byte
  +0x4     InternalHigh                               ULONG_PTR              4 Byte
  +0x8     u                                          _union_518             8 Byte
  +0x10    hEvent                                     HANDLE                 4 Byte

### _struct_519   Groesse 8 (0x8)
  +0x0     Offset                                     DWORD                  4 Byte
  +0x4     OffsetHigh                                 DWORD                  4 Byte

### WSAData   Groesse 400 (0x190)
  +0x0     wVersion                                   WORD                   2 Byte
  +0x2     wHighVersion                               WORD                   2 Byte
  +0x4     szDescription                              char[257]              257 Byte
  +0x105   szSystemStatus                             char[129]              129 Byte
  +0x186   iMaxSockets                                ushort                 2 Byte
