### IMAGE_DOS_HEADER   Groesse 128 (0x80)
  +0x55a4  field80_0x55a4                             byte[28]               28 Byte
  +0x55c0  field81_0x55c0                             byte[20]               20 Byte
  +0x55d4  field82_0x55d4                             byte[260]              260 Byte
  +0x56d8  animTannerSolitary                         byte[44]               44 Byte
  +0x5704  animTanner                                 byte[12]               12 Byte
  +0x5710  animTanner3                                byte[28]               28 Byte
  +0x572c  animTanner4                                byte[32]               32 Byte
  +0x574c  animTannerSolitary2                        byte[56]               56 Byte
  +0x5784  animTanner2                                byte[16]               16 Byte
  +0x5794  field89_0x5794                             byte[92]               92 Byte
  +0x57f0  field90_0x57f0                             byte[36]               36 Byte
  +0x5814  animTanner5                                byte[40]               40 Byte
  +0x583c  animTannerSolitary4                        byte[152]              152 Byte
  +0x58d4  animTanner6                                byte[152]              152 Byte
  +0x596c  animTanner7                                byte[172]              172 Byte
  +0x5a18  field95_0x5a18                             byte[52]               52 Byte
  +0x5a4c  field96_0x5a4c                             byte[36]               36 Byte
  +0x5a70  field97_0x5a70                             byte[28]               28 Byte
  +0x5a8c  field98_0x5a8c                             byte[64]               64 Byte
  +0x5acc  field99_0x5acc                             byte[20]               20 Byte
  +0x5ae0  field100_0x5ae0                            byte[24]               24 Byte
  +0x5af8  field101_0x5af8                            byte[28]               28 Byte
  +0x5b14  field102_0x5b14                            byte[56]               56 Byte
  +0x5b4c  PTR_SomeAnimationNumbersUnk                byte[24]               24 Byte
  +0x5b64  field104_0x5b64                            byte[32]               32 Byte
  +0x5b84  field105_0x5b84                            byte[16]               16 Byte
  +0x5b94  field106_0x5b94                            byte[64]               64 Byte
  +0x5bd4  field107_0x5bd4                            byte[112]              112 Byte
  +0x5c44  field108_0x5c44                            byte[20]               20 Byte
  +0x5c58  field109_0x5c58                            byte[40]               40 Byte
  +0x5c80  field110_0x5c80                            byte[60]               60 Byte
  +0x5cbc  field111_0x5cbc                            byte[72]               72 Byte
  +0x5d04  field112_0x5d04                            byte[24]               24 Byte
  +0x5d1c  field113_0x5d1c                            byte[64]               64 Byte
  +0x5d5c  field114_0x5d5c                            byte[16]               16 Byte
  +0x5d6c  field115_0x5d6c                            byte[376]              376 Byte
  +0x5ee4  field116_0x5ee4                            byte[264]              264 Byte
  +0x5fec  field117_0x5fec                            byte[304]              304 Byte
  +0x611c  field118_0x611c                            byte[384]              384 Byte
  +0x629c  field119_0x629c                            byte[88]               88 Byte
  +0x62f4  field120_0x62f4                            byte[80]               80 Byte
  +0x6344  field121_0x6344                            byte[472]              472 Byte
  +0x651c  field122_0x651c                            byte[112]              112 Byte
  +0x658c  field123_0x658c                            byte[104]              104 Byte
  +0x65f4  field124_0x65f4                            byte[184]              184 Byte
  +0x66ac  field125_0x66ac                            byte[24]               24 Byte
  +0x66c4  field126_0x66c4                            byte[12]               12 Byte
  +0x66d0  field127_0x66d0                            byte[60]               60 Byte
  +0x670c  field128_0x670c                            byte[452]              452 Byte
  +0x68d0  field129_0x68d0                            byte[36]               36 Byte
  +0x68f4  field130_0x68f4                            byte[84]               84 Byte
  +0x6948  field131_0x6948                            byte[52]               52 Byte
  +0x697c  field132_0x697c                            byte[56]               56 Byte
  +0x69b4  field133_0x69b4                            byte[104]              104 Byte
  +0x6a1c  field134_0x6a1c                            byte[16]               16 Byte
  +0x6a2c  field135_0x6a2c                            byte[16]               16 Byte
  +0x6a3c  field136_0x6a3c                            byte[16]               16 Byte
  +0x6a4c  field137_0x6a4c                            byte[136]              136 Byte
  +0x6ad4  field138_0x6ad4                            byte[16]               16 Byte
  +0x6ae4  field139_0x6ae4                            byte[32]               32 Byte
  +0x6b04  field140_0x6b04                            byte[36]               36 Byte
  +0x6b28  field141_0x6b28                            byte[28]               28 Byte
  +0x6b44  field142_0x6b44                            byte[32]               32 Byte
  +0x6b64  field143_0x6b64                            byte[264]              264 Byte
  +0x6c6c  field144_0x6c6c                            byte[664]              664 Byte
  +0x6f04  field145_0x6f04                            byte[448]              448 Byte
  +0x70c4  field146_0x70c4                            byte[152]              152 Byte
  +0x715c  field147_0x715c                            byte[644]              644 Byte
  +0x73e0  field148_0x73e0                            byte[52]               52 Byte
  +0x7414  field149_0x7414                            byte[80]               80 Byte
  +0x7464  field150_0x7464                            byte[48]               48 Byte
  +0x7494  field151_0x7494                            byte[48]               48 Byte
  +0x74c4  field152_0x74c4                            byte[48]               48 Byte
  +0x74f4  field153_0x74f4                            byte[48]               48 Byte
  +0x7524  field154_0x7524                            byte[48]               48 Byte
  +0x7554  field155_0x7554                            byte[48]               48 Byte
  +0x7584  field156_0x7584                            byte[40]               40 Byte
  +0x75ac  field157_0x75ac                            byte[80]               80 Byte
  +0x75fc  field158_0x75fc                            byte[40]               40 Byte
  +0x7624  field159_0x7624                            byte[72]               72 Byte
  +0x766c  field160_0x766c                            byte[80]               80 Byte
  +0x76bc  field161_0x76bc                            byte[172]              172 Byte
  +0x7768  field162_0x7768                            byte[36]               36 Byte
  +0x778c  field163_0x778c                            byte[88]               88 Byte
  +0x77e4  field164_0x77e4                            byte[160]              160 Byte
  +0x7884  field165_0x7884                            byte[200]              200 Byte
  +0x794c  field166_0x794c                            byte[40]               40 Byte
  +0x7974  field167_0x7974                            byte[80]               80 Byte
  +0x79c4  field168_0x79c4                            byte[80]               80 Byte
  +0x7a14  field169_0x7a14                            byte[344]              344 Byte
  +0x7b6c  ANIM_MarketPlace                           byte[104]              104 Byte
  +0x7bd4  field171_0x7bd4                            byte[104]              104 Byte
  +0x7c3c  field172_0x7c3c                            byte[88]               88 Byte
  +0x7c94  field173_0x7c94                            byte[136]              136 Byte
  +0x7d1c  field174_0x7d1c                            byte[140]              140 Byte
  +0x7da8  field175_0x7da8                            byte[36]               36 Byte
  +0x7dcc  field176_0x7dcc                            byte[80]               80 Byte
  +0x7e1c  field177_0x7e1c                            byte[52]               52 Byte
  +0x7e50  DAT_BuildingAccessibleTilesCountForOneLarger int[15]                60 Byte
  +0x7e8c  field179_0x7e8c                            XYPair[8]              64 Byte
  +0x7ecc  field180_0x7ecc                            XYPair[12]             96 Byte
  +0x7f2c  field181_0x7f2c                            XYPair[16]             128 Byte
  +0x7fac  field182_0x7fac                            XYPair[20]             160 Byte
  +0x804c  field183_0x804c                            XYPair[24]             192 Byte
  +0x810c  field184_0x810c                            XYPair[28]             224 Byte
  +0x81ec  field185_0x81ec                            XYPair[32]             256 Byte
  +0x82ec  field186_0x82ec                            XYPair[36]             288 Byte
  +0x840c  field187_0x840c                            XYPair[40]             320 Byte
  +0x854c  field188_0x854c                            XYPair[44]             352 Byte
  +0x86ac  field189_0x86ac                            XYPair[48]             384 Byte
  +0x882c  field190_0x882c                            XYPair[52]             416 Byte
  +0x89cc  field191_0x89cc                            XYPair[116]            928 Byte
  +0x8d6c  DAT_BuildingAccessibleTilesCount           int[15]                60 Byte
  +0x8da8  field193_0x8da8                            XYPair[4]              32 Byte
  +0x8dcc  field198_0x8dcc                            XYPair[8]              64 Byte
  +0x8e0c  field199_0x8e0c                            XYPair[12]             96 Byte
  +0x8e6c  field200_0x8e6c                            XYPair[16]             128 Byte
  +0x8eec  field201_0x8eec                            XYPair[20]             160 Byte
  +0x8f8c  field202_0x8f8c                            XYPair[24]             192 Byte
  +0x904c  field203_0x904c                            XYPair[28]             224 Byte
  +0x912c  field204_0x912c                            XYPair[32]             256 Byte
  +0x922c  field205_0x922c                            XYPair[36]             288 Byte
  +0x934c  field206_0x934c                            XYPair[40]             320 Byte
  +0x948c  field207_0x948c                            XYPair[44]             352 Byte
  +0x95ec  field208_0x95ec                            XYPair[48]             384 Byte
  +0x976c  field209_0x976c                            XYPair[52]             416 Byte
  +0x990c  field210_0x990c                            XYPair[56]             448 Byte
  +0x9b68  gardenVariations                           int[12]                48 Byte
  +0x9b98  unknownVariations                          int[13]                52 Byte
  +0x9bcc  DAT_SomeSpriteArray1                       int[7]                 28 Byte
  +0x9be8  cesspitVariations                          int[4]                 16 Byte
  +0x9bf8  statueVariations                           int[5]                 20 Byte
  +0x9c0c  shrineVariations                           int[5]                 20 Byte
  +0x9c20  pondVariations                             int[5]                 20 Byte
  +0x9c34  DAT_PlayerDataUnknownStructureRelatedArray_3 XYPairShort[2][24]     192 Byte
  +0x9cf4  DAT_PlayerDataUnknownStructureRelatedArray_1 int[6]                 24 Byte
  +0x9d0c  DAT_PlayerDataUnknownStructureRelatedArray_2 int[6][3]              72 Byte
  +0x9d54  DAT_SearchRelatedXYOffsets_1               XYPairShort[49]        196 Byte
  +0x9e1c  field382_0x9e1c                            int[7][4]              112 Byte
  +0x9e8c  field383_0x9e8c                            int[4]                 16 Byte
  +0x9e9c  field384_0x9e9c                            int[7][4]              112 Byte
  +0x9f1c  field401_0x9f1c                            int[2][4]              32 Byte
  +0x9f3c  tunnelersGuildParadegroundLocationOffsets  XYPairShort[25]        100 Byte
  +0x9fa4  engineersParagroundOffsets                 XYPairShort[25]        100 Byte
  +0xa00c  field412_0xa00c                            XYPairShort[16]        64 Byte
  +0xa04c  field413_0xa04c                            int[16][13]            832 Byte
  +0xa38c  field414_0xa38c                            int[4]                 16 Byte
  +0xa39c  field415_0xa39c                            int[52]                208 Byte
  +0xa46c  field416_0xa46c                            int[52]                208 Byte
  +0xa53c  field417_0xa53c                            int[26]                104 Byte
  +0xa5a4  field418_0xa5a4                            int[102]               408 Byte
  +0xa73c  field419_0xa73c                            int[16]                64 Byte
  +0xa77c  field420_0xa77c                            int[24]                96 Byte
  +0xa7dc  field421_0xa7dc                            int[32]                128 Byte
  +0xa85c  DAT_BUILDING_COST                          int[110][5]            2200 Byte

### BuildingsState   Groesse 1630344 (0x18e088)
  +0x0     structCount                                int                    4 Byte
  +0x4     field1_0x4                                 undefined4             4 Byte
  +0x8     maxBuildingsCount                          undefined4             4 Byte
  +0xc     unknownCountdown01                         undefined4             4 Byte
  +0x10    field4_0x10                                undefined4             4 Byte
  +0x14    buildings                                  Building[2000]         1624000 Byte
  +0x18c7d4 buildingCosts                              BuildingCostStruct[110] 2200 Byte
  +0x18d06c pathLinkageKeepWasUpdatedUnk               undefined4             4 Byte
  +0x18d070 counter                                    undefined4             4 Byte
  +0x18d074 DAT_BuildingIDsNeedPeasantsQueue           undefined2[2000]       4000 Byte
  +0x18e014 DAT_CountOfBuildingsNeedPeasants           undefined4             4 Byte
  +0x18e018 campfireSpotX                              int                    4 Byte
  +0x18e01c campfireSpotY                              int                    4 Byte
  +0x18e020 campfireSpotOrientation                    int                    4 Byte
  +0x18e024 field14_0x18e024                           undefined4             4 Byte
  +0x18e028 DAT_TempXOffset                            undefined4             4 Byte
  +0x18e02c DAT_TempYOffset                            undefined4             4 Byte
  +0x18e030 farmerDestinationTile                      undefined4             4 Byte
  +0x18e034 hopFarmerDestinationOffsetX                int                    4 Byte
  +0x18e038 hopFarmerDestinationOffsetY                int                    4 Byte
  +0x18e03c menuSelectedBuildingID                     undefined4             4 Byte
  +0x18e040 newSelectedBuildingID                      undefined4             4 Byte
  +0x18e044 menuSelectedUnitID                         undefined4             4 Byte
  +0x18e048 newSelectedUnitID                          undefined4             4 Byte
  +0x18e04c field24_0x18e04c                           undefined4             4 Byte
  +0x18e050 field25_0x18e050                           undefined4             4 Byte
  +0x18e054 DAT_CurrentlyPlayingBuildingBik            char *                 4 Byte
  +0x18e058 DAT_IsBuildingOrPeasantBinkPlaying         BOOLEnum               4 Byte
  +0x18e05c field28_0x18e05c                           int                    4 Byte
  +0x18e060 field29_0x18e060                           undefined4             4 Byte
  +0x18e064 isFirstTickInLoop                          BOOLEnum               4 Byte
  +0x18e068 DAT_DraggedTileCountVerified               undefined4             4 Byte
  +0x18e06c INT_SelectedBuildingStoneWoodCost          int                    4 Byte
  +0x18e070 INT_SelectedBuildingStoneRepairCost        int                    4 Byte
  +0x18e074 field34_0x18e074                           undefined4             4 Byte
  +0x18e078 siegeEngineCreationRelated01               int                    4 Byte
  +0x18e07c unitID                                     undefined4             4 Byte
  +0x18e080 field37_0x18e080                           undefined4             4 Byte
  +0x18e084 unused01                                   int                    4 Byte

### WheatFarmFieldSpec   Groesse 12 (0xc)
  +0x0     offset                                     XYPair                 8 Byte
  +0x8     property                                   int                    4 Byte

### Entity   Groesse 232 (0xe8)
  +0x0     graphicType2                               int                    4 Byte
  +0x4     graphicType2RelatedOffset                  short                  2 Byte
  +0x6     gmID                                       short                  2 Byte
  +0x8     colorUnk                                   int                    4 Byte
  +0xc     x1                                         short                  2 Byte
  +0xe     y1                                         short                  2 Byte
  +0x10    unkOne_1                                   short                  2 Byte
  +0x12    field7_0x12                                short                  2 Byte
  +0x14    unknownAnimationFrameRelated               short                  2 Byte
  +0x16    unkThree_1                                 short                  2 Byte
  +0x18    originX                                    short                  2 Byte
  +0x1a    originY                                    short                  2 Byte
  +0x1c    field12_0x1c                               short                  2 Byte
  +0x1e    nextEntityOnThisTileByID                   short                  2 Byte
  +0x20    imageID                                    short                  2 Byte
  +0x22    unused_0x22                                byte[6]                6 Byte
  +0x28    logicalState                               short                  2 Byte
  +0x2a    entityType                                 EntityTypeShort        2 Byte
  +0x2c    owner                                      short                  2 Byte
  +0x2e    unused_0x2e                                byte[2]                2 Byte
  +0x30    uid                                        int                    4 Byte
  +0x34    field21_0x34                               int                    4 Byte
  +0x38    microX                                     short                  2 Byte
  +0x3a    microY                                     short                  2 Byte
  +0x3c    height                                     short                  2 Byte
  +0x3e    targetX                                    short                  2 Byte
  +0x40    targetY                                    short                  2 Byte
  +0x42    targetZ                                    short                  2 Byte
  +0x44    xPosition                                  short                  2 Byte
  +0x46    yPosition                                  short                  2 Byte
  +0x48    unused_0x48                                byte[4]                4 Byte
  +0x4c    tile                                       int                    4 Byte
  +0x50    x_2                                        short                  2 Byte
  +0x52    y_2                                        short                  2 Byte
  +0x54    startingHeight_2                           short                  2 Byte
  +0x56    height_2                                   short                  2 Byte
  +0x58    startingHeight                             short                  2 Byte
  +0x5a    field37_0x5a                               short                  2 Byte
  +0x5c    field38_0x5c                               short                  2 Byte
  +0x5e    field39_0x5e                               short                  2 Byte
  +0x60    someMicroX                                 short                  2 Byte
  +0x62    field41_0x62                               short                  2 Byte
  +0x64    field42_0x64                               short                  2 Byte
  +0x66    someMicroY                                 short                  2 Byte
  +0x68    field44_0x68                               short                  2 Byte
  +0x6a    field45_0x6a                               short                  2 Byte
  +0x6c    someCounter_OR_hitGround                   short                  2 Byte
  +0x6e    field47_0x6e                               short                  2 Byte
  +0x70    field48_0x70                               short                  2 Byte
  +0x72    field49_0x72                               short                  2 Byte
  +0x74    field50_0x74                               short                  2 Byte
  +0x76    unused_0x76                                byte[2]                2 Byte
  +0x78    speedUnk                                   int                    4 Byte
  +0x7c    vCos                                       float                  4 Byte
  +0x80    vSin                                       float                  4 Byte
  +0x84    travelledDistance                          short                  2 Byte
  +0x86    field56_0x86                               byte[2]                2 Byte
  +0x88    orientation                                int                    4 Byte
  +0x8c    field58_0x8c                               short                  2 Byte
  +0x90    heightDifference                           int                    4 Byte
  +0x94    field62_0x94                               short                  2 Byte
  +0x96    velocityUnk                                short                  2 Byte
  +0x98    _elapsedTimeOrGravityAccumulator           float                  4 Byte
  +0x9c    startingAngle                              short                  2 Byte
  +0x9e    graphicRotationUnk                         word                   2 Byte
  +0xa0    unitID                                     short                  2 Byte
  +0xa2    unitID_OR_seaGullID                        short                  2 Byte
  +0xa6    gmLookupValue                              short                  2 Byte
  +0xa8    field72_0xa8                               short                  2 Byte
  +0xaa    entityType2                                EntityTypeShort        2 Byte
  +0xac    rng_1                                      int                    4 Byte
  +0xb0    unkMinusOne                                short                  2 Byte
  +0xb2    hasDoneEffectUnk                           short                  2 Byte
  +0xb4    someTracker                                short                  2 Byte
  +0xb6    fireParameter_0xb6                         short                  2 Byte
  +0xb8    field79_0xb8                               short                  2 Byte
  +0xba    field80_0xba                               short                  2 Byte
  +0xbc    rng_2                                      short                  2 Byte
  +0xbe    field82_0xbe                               short                  2 Byte
  +0xc0    field83_0xc0                               short                  2 Byte
  +0xc2    unused_0xc2                                byte[2]                2 Byte
  +0xc4    displayValue                               int                    4 Byte
  +0xc8    field86_0xc8                               short                  2 Byte
  +0xca    field87_0xca                               short                  2 Byte
  +0xcc    field88_0xcc                               short                  2 Byte
  +0xce    field89_0xce                               short                  2 Byte
  +0xd0    field90_0xd0                               short                  2 Byte
  +0xd2    unitID_healer                              short                  2 Byte
  +0xd4    unitUID                                    int                    4 Byte
  +0xd8    fireIntensity                              short                  2 Byte
  +0xda    unknownDistanceRelatedValue                short                  2 Byte
  +0xdc    uidRef                                     int                    4 Byte
  +0xe0    unused_0xe0                                byte[8]                8 Byte

### EntityDefinedData   Groesse 6500 (0x1964)
  +0x0     field0_0x0                                 int[9]                 36 Byte
  +0x24    PTR_FUN_EntityCallbacks                    pointer[44]            176 Byte
  +0xd4    DAT_EntityPropertyArray_1                  GmIDInt[45]            180 Byte
  +0x188   field3_0x188                               byte[36]               36 Byte
  +0x1ac   DAT_EntityPropertyArray_2                  int[45]                180 Byte
  +0x260   field5_0x260                               byte[16]               16 Byte
  +0x270   field6_0x270                               int[15]                60 Byte
  +0x2ac   field7_0x2ac                               int[35]                140 Byte
  +0x338   field8_0x338                               byte[28]               28 Byte
  +0x354   DAT_EntityTypeArrayForProjectileRange      uint[38]               152 Byte
  +0x408   field38_0x408                              byte[28]               28 Byte
  +0x424   DAT_EntityArrayCurveTypeForProjectileType  int[45]                180 Byte
  +0x4d8   field40_0x4d8                              byte[28]               28 Byte
  +0x4f4   DAT_EntityArrayProjectileVelocityForProjectileType int[45]                180 Byte
  +0x5a8   field42_0x5a8                              byte[28]               28 Byte
  +0x5c4   field43_0x5c4                              float[46]              184 Byte
  +0x67c   DAT_EntityPropertyArray_3                  int[56]                224 Byte
  +0x75c   field45_0x75c                              int[36]                144 Byte
  +0x7ec   field46_0x7ec                              int[3]                 12 Byte
  +0x7f8   field47_0x7f8                              int                    4 Byte
  +0x7fc   field48_0x7fc                              int[42]                168 Byte
  +0x8a4   field49_0x8a4                              int[3]                 12 Byte
  +0x8b0   field50_0x8b0                              int                    4 Byte
  +0x8b4   field51_0x8b4                              int[42]                168 Byte
  +0x95c   field52_0x95c                              GmIDInt[46]            184 Byte
  +0xa14   field53_0xa14                              int[92]                368 Byte
  +0xb84   field54_0xb84                              Point4ShortXY[128]     512 Byte
  +0xd84   field55_0xd84                              Point8IntXY[16]        128 Byte
  +0xe04   field56_0xe04                              byte[48]               48 Byte
  +0xe34   field57_0xe34                              byte[56]               56 Byte
  +0xe6c   DAT_XYOffsetsInAllDirections               int[64][2]             512 Byte
  +0x106c  field59_0x106c                             int[4]                 16 Byte
  +0x107c  field60_0x107c                             int[58]                232 Byte
  +0x1164  field61_0x1164                             int[76]                304 Byte
  +0x1294  field62_0x1294                             int[66]                264 Byte
  +0x139c  field63_0x139c                             int[144]               576 Byte
  +0x15dc  field64_0x15dc                             int[114]               456 Byte
  +0x17a4  field65_0x17a4                             int[112]               448 Byte

### EntityState   Groesse 706024 (0xac5e8)
  +0x0     totalEntityCount                           undefined4             4 Byte
  +0x4     maxEntityCount                             undefined4             4 Byte
  +0x8     every10Ticks                               undefined4             4 Byte
  +0xc     lineOfSightClearanceSteps                  int                    4 Byte
  +0x10    fireCount                                  undefined4             4 Byte
  +0x14    entityArray                                Entity[3000]           696000 Byte
  +0xa9ed4 seagullArray                               ExtraEntityInfo[100]   10000 Byte
  +0xac5e4 classConstructionTime                      DWORD                  4 Byte

### MapDefinedData   Groesse 208972 (0x3304c)
  +0x4     DAT_GMNameArray                            char[207][1000]        207000 Byte
  +0x3289c DAT_MapSectionAddressArray                 MapSectionAddress[123] 1968 Byte

### MapHeaderSection4IntStruct   Groesse 64 (0x40)
  +0x0     keepPositions                              XYPair[8]              64 Byte

### MapPropertiesState   Groesse 83616 (0x146a0)
  +0x0     SEC_Section1089                            uchar[128]             128 Byte
  +0x80    SEC_StartingYear                           int                    4 Byte
  +0x84    SEC_StartingMonth                          int                    4 Byte
  +0x88    SEC_StartingResources                      int[25]                100 Byte
  +0xec    SEC_SiegeInformation                       SiegeUnitCounts        80 Byte
  +0x13c   SEC_Section1067                            SiegeGameModeRelatedSection 28 Byte
  +0x158   SEC_StartingPopularity                     int                    4 Byte
  +0x15c   buildingAvailability                       short[100]             200 Byte
  +0x224   field8_0x224                               undefined4             4 Byte
  +0x228   buildingAvailabilityRelatedFlags           short[380]             760 Byte
  +0x520   field10_0x520                              short                  2 Byte
  +0x522   field11_0x522                              short                  2 Byte
  +0x524   field12_0x524                              short                  2 Byte
  +0x526   field13_0x526                              short                  2 Byte
  +0x528   field14_0x528                              short                  2 Byte
  +0x52a   field15_0x52a                              short                  2 Byte
  +0x52c   field16_0x52c                              short                  2 Byte
  +0x52e   field17_0x52e                              short                  2 Byte
  +0x530   field18_0x530                              short                  2 Byte
  +0x532   field19_0x532                              short                  2 Byte
  +0x534   field20_0x534                              short                  2 Byte
  +0x536   field21_0x536                              short                  2 Byte
  +0x538   field22_0x538                              short                  2 Byte
  +0x53a   field23_0x53a                              short                  2 Byte
  +0x53c   field24_0x53c                              short                  2 Byte
  +0x53e   field25_0x53e                              short                  2 Byte
  +0x540   field26_0x540                              short                  2 Byte
  +0x542   field27_0x542                              short                  2 Byte
  +0x544   field28_0x544                              short                  2 Byte
  +0x546   field29_0x546                              short                  2 Byte
  +0x548   field30_0x548                              short                  2 Byte
  +0x54a   field31_0x54a                              short                  2 Byte
  +0x54c   field32_0x54c                              short                  2 Byte
  +0x54e   field33_0x54e                              short                  2 Byte
  +0x550   field34_0x550                              short                  2 Byte
  +0x552   field35_0x552                              short                  2 Byte
  +0x554   field36_0x554                              short                  2 Byte
  +0x556   field37_0x556                              short                  2 Byte
  +0x558   field38_0x558                              short                  2 Byte
  +0x55a   field39_0x55a                              short                  2 Byte
  +0x55c   field40_0x55c                              short                  2 Byte
  +0x55e   field41_0x55e                              short                  2 Byte
  +0x560   field42_0x560                              short                  2 Byte
  +0x562   field43_0x562                              short                  2 Byte
  +0x564   field44_0x564                              short                  2 Byte
  +0x566   field45_0x566                              short                  2 Byte
  +0x568   field46_0x568                              short                  2 Byte
  +0x56a   field47_0x56a                              short                  2 Byte
  +0x56c   field48_0x56c                              short                  2 Byte
  +0x56e   field49_0x56e                              short                  2 Byte
  +0x570   field50_0x570                              short                  2 Byte
  +0x572   field51_0x572                              short                  2 Byte
  +0x574   field52_0x574                              short                  2 Byte
  +0x576   field53_0x576                              short                  2 Byte
  +0x578   field54_0x578                              short                  2 Byte
  +0x57a   field55_0x57a                              short                  2 Byte
  +0x57c   field56_0x57c                              short                  2 Byte
  +0x57e   field57_0x57e                              short                  2 Byte
  +0x582   barracksRecruitability                     BarracksRecruitabilityShort 14 Byte
  +0x590   SEC_MercRecruitable                        short[7]               14 Byte
  +0x59e   SEC_XbowProducible_save                    short                  2 Byte
  +0x5a0   SEC_BowProducible_save                     short                  2 Byte
  +0x5a2   SEC_PikeProducible_save                    short                  2 Byte
  +0x5a4   SEC_SpearProducible_save                   short                  2 Byte
  +0x5a6   SEC_SwordProducible_save                   short                  2 Byte
  +0x5a8   SEC_MaceProducible_save                    short                  2 Byte
  +0x5ac   SEC_EventsCount                            int                    4 Byte
  +0x5b0   SEC_Events                                 InGameEventUnionVersion[200] 45600 Byte
  +0xb7d0  SEC_EventsExtra                            InGameEventExtra[200]  32000 Byte
  +0x134d0 SEC_Section1065                            TradeableResourcesSection 100 Byte
  +0x13534 scenarionMissionType                       int                    4 Byte
  +0x13538 SEC_U3_MapType2_1                          MapType2Int            4 Byte
  +0x1353c scenarioMissionSiegeOrInvasion             MapType2Int            4 Byte
  +0x13540 SEC_Section1090                            undefined4             4 Byte
  +0x13544 SEC_Section1080                            undefined4             4 Byte
  +0x13548 SEC_Section1081                            undefined4             4 Byte
  +0x1355c field96_0x1355c                            undefined4             4 Byte
  +0x13560 field97_0x13560                            int                    4 Byte
  +0x13564 DAT_CurrentEventID                         undefined4             4 Byte
  +0x13568 field99_0x13568                            undefined4             4 Byte
  +0x13570 invasionTroopIndex                         undefined4             4 Byte
  +0x13574 DAT_BuildingAvailabilityScrollbarOffset    int                    4 Byte
  +0x13578 flag                                       undefined4             4 Byte
  +0x1357c offset                                     undefined4             4 Byte
  +0x13580 indexStored                                undefined4             4 Byte
  +0x1358c value                                      undefined4             4 Byte
  +0x13590 field118_0x13590                           undefined4             4 Byte
  +0x1359c total                                      undefined4             4 Byte
  +0x135a0 unknownArray_01                            int[1000]              4000 Byte
  +0x14540 year_copy                                  undefined4             4 Byte
  +0x14544 DAT_MapEditorUnitPointsSum                 undefined4             4 Byte
  +0x14548 DAT_InvasionEventItemUnitCountSum          undefined4             4 Byte
  +0x14554 field140_0x14554                           undefined4             4 Byte
  +0x14558 field141_0x14558                           undefined4             4 Byte
  +0x1455c field142_0x1455c                           undefined4             4 Byte
  +0x14560 field143_0x14560                           undefined4             4 Byte
  +0x14564 field144_0x14564                           undefined4             4 Byte
  +0x14568 field145_0x14568                           undefined4             4 Byte
  +0x1456c field146_0x1456c                           undefined4             4 Byte
  +0x14570 field147_0x14570                           undefined4             4 Byte
  +0x14574 field148_0x14574                           undefined4             4 Byte
  +0x14578 field149_0x14578                           undefined4             4 Byte
  +0x1457c field150_0x1457c                           undefined4             4 Byte
  +0x14580 field151_0x14580                           undefined4             4 Byte
  +0x14584 field152_0x14584                           undefined4             4 Byte
  +0x14588 field153_0x14588                           undefined4             4 Byte
  +0x1458c field154_0x1458c                           undefined4             4 Byte
  +0x14590 field155_0x14590                           undefined4             4 Byte
  +0x14594 field156_0x14594                           undefined4             4 Byte
  +0x1459c field161_0x1459c                           undefined4             4 Byte
  +0x145a0 field162_0x145a0                           undefined4             4 Byte
  +0x145a4 field163_0x145a4                           undefined4             4 Byte
  +0x145a8 field164_0x145a8                           undefined4             4 Byte
  +0x145ac field165_0x145ac                           undefined4             4 Byte
  +0x145b0 field166_0x145b0                           undefined4             4 Byte
  +0x145b8 field171_0x145b8                           undefined4             4 Byte
  +0x145bc field172_0x145bc                           undefined4             4 Byte
  +0x145c0 field173_0x145c0                           undefined4             4 Byte
  +0x145c4 field174_0x145c4                           undefined4             4 Byte
  +0x145c8 field175_0x145c8                           undefined4             4 Byte
  +0x145d0 field180_0x145d0                           undefined4             4 Byte
  +0x145d4 field181_0x145d4                           undefined4             4 Byte
  +0x145dc eventType                                  undefined4             4 Byte
  +0x145e0 invasionEvent                              IngameEventHeader      16 Byte
  +0x145f0 invasionEventContent                       IngameInvasionEventItemContent 176 Byte

### PathFindingStatePartB   Groesse 729804 (0xb22cc)
  +0x0     destinationsArray                          PathHelper12[500]      6000 Byte
  +0x1770  currentDistance                            undefined4             4 Byte
  +0x1774  readIndex                                  undefined4             4 Byte
  +0x1778  previousReadIndex                          undefined4             4 Byte
  +0x177c  writeIndex                                 undefined4             4 Byte
  +0x1780  nextWriteIndex                             undefined4             4 Byte
  +0x1790  depth                                      int                    4 Byte
  +0x1794  ptrPathPlan                                byte *                 4 Byte
  +0x1798  pathPlanIndex                              undefined4             4 Byte
  +0x179c  tilesQueue                                 int[80400]             321600 Byte
  +0x4ffdc yQueue                                     short[80400]           160800 Byte
  +0x773fc xQueue                                     short[80400]           160800 Byte
  +0x9e81c unknownAlgLayer                            byte[80400]            80400 Byte
  +0xb222c acceptAreaPairArray1                       AreaPairInt[10]        80 Byte
  +0xb227c rejectionAreaPairArray                     AreaPairInt[10]        80 Byte

### TerrainDefinedData   Groesse 14252 (0x37ac)
  +0xc     field12_0xc                                int[37]                148 Byte
  +0xa0    BrushSizeArray                             int[8]                 32 Byte
  +0xc0    field14_0xc0                               XYPair                 8 Byte
  +0xd0    field23_0xd0                               undefined4             4 Byte
